 Substance:Al_U       2023/12/12 09:53:01                     
 Input files: ./data/Al_U_large_n0001.dat to ./data/Al_U_large_n0001.dat step           1
 OMP processes  =            2
 Integration Monte Carlo     100000000 cell pairs, j_rand          10
 Supercell size:           1           1           1
 Unit cell parameter:   79.8159637       79.8159637       79.8159637    
 Atoms/unit_cell:           2
 Atoms  :    Al      U   
 Atom no.        1       2
 Occups:   0.9200  0.0800
 Weights: Xray            12.9937 91.9693
 Masks	:        1       1
 Smoothing FWHM [Å-1]   8.72664675E-02

 Output: Z(Q)
 Partials index      1  1    1  2    2  2
   Q [A-1]   Al_Al   Al_U   U_U
  21.293    -0.002   0.003   0.026
  21.337     0.001  -0.002   0.039
  21.380     0.003  -0.018   0.039
  21.424     0.005  -0.020   0.025
  21.468     0.003  -0.007  -0.003
  21.511     0.003   0.000  -0.029
  21.555     0.007   0.000  -0.008
  21.598     0.006  -0.009   0.008
  21.642     0.001  -0.017   0.005
  21.686     0.007   0.002   0.016
  21.729     0.009  -0.005   0.011
  21.773     0.003  -0.013  -0.036
  21.817     0.005   0.002  -0.025
  21.860     0.012  -0.006  -0.003
  21.904     0.011  -0.007  -0.041
  21.948     0.007   0.002  -0.037
  21.991     0.007   0.012  -0.027
  22.035     0.006   0.005   0.001
  22.078     0.002  -0.008  -0.013
  22.122     0.006  -0.003  -0.053
  22.166     0.008   0.002  -0.041
  22.209     0.002   0.011  -0.049
  22.253     0.000   0.014  -0.037
  22.297     0.000   0.006  -0.035
  22.340    -0.002   0.003  -0.027
  22.384    -0.001  -0.006   0.029
  22.427     0.003  -0.011   0.015
  22.471     0.002   0.004   0.001
  22.515     0.002   0.018   0.015
  22.558    -0.001   0.011  -0.013
  22.602    -0.009   0.000   0.005
  22.646    -0.006   0.008   0.034
  22.689    -0.002   0.014   0.007
  22.733    -0.005   0.000  -0.005
  22.777    -0.001  -0.010   0.003
  22.820     0.001  -0.006  -0.012
  22.864    -0.003   0.002  -0.003
  22.907    -0.005   0.006  -0.007
  22.951    -0.004   0.007  -0.032
  22.995    -0.005  -0.001  -0.014
  23.038    -0.010  -0.003  -0.006
  23.082    -0.008   0.008   0.015
  23.126    -0.006  -0.005   0.054
  23.169    -0.006  -0.014   0.076
  23.213    -0.004   0.008   0.024
  23.257    -0.006   0.005  -0.026
  23.300    -0.009  -0.010   0.009
  23.344    -0.008  -0.002   0.039
  23.387    -0.007   0.002   0.056
  23.431    -0.004  -0.001   0.036
  23.475     0.001   0.003   0.044
  23.518    -0.000   0.000   0.064
  23.562    -0.006  -0.011  -0.019
  23.606    -0.003  -0.007   0.002
  23.649     0.005   0.005   0.050
  23.693    -0.001   0.002   0.004
  23.736    -0.006  -0.007   0.003
  23.780     0.002  -0.013  -0.014
  23.824     0.000  -0.002  -0.022
  23.867    -0.002   0.000  -0.029
  23.911     0.002  -0.016  -0.054
  23.955     0.002   0.002  -0.019
  23.998    -0.001   0.022  -0.007
  24.042    -0.001   0.009  -0.053
  24.086     0.006   0.003  -0.045
  24.129     0.007   0.002  -0.015
  24.173     0.001  -0.008   0.010
  24.216    -0.000  -0.006   0.008
  24.260     0.004  -0.001  -0.012
  24.304     0.009  -0.005  -0.007
  24.347     0.010  -0.004  -0.006
  24.391     0.008  -0.002  -0.003
  24.435     0.005  -0.000  -0.026
  24.478     0.002   0.014  -0.012
  24.522     0.004   0.013  -0.011
  24.566     0.007  -0.018  -0.059
  24.609     0.005  -0.015  -0.055
  24.653     0.005   0.010  -0.039
  24.696     0.006   0.009  -0.006
  24.740     0.007  -0.001   0.024
  24.784     0.005  -0.001   0.003
  24.827     0.001  -0.002  -0.001
  24.871    -0.002  -0.001   0.011
  24.915    -0.001   0.006   0.013
  24.958     0.003   0.006   0.019
  25.002     0.003   0.004   0.004
  25.045     0.002   0.001   0.009
  25.089     0.001  -0.001   0.042
  25.133    -0.000   0.005   0.024
  25.176    -0.002   0.004   0.006
  25.220    -0.002  -0.014   0.018
  25.264    -0.000   0.002   0.009
  25.307     0.001   0.019   0.007
  25.351     0.001   0.006   0.043
  25.395    -0.001   0.004   0.055
  25.438    -0.002  -0.006   0.005
  25.482    -0.009  -0.014  -0.020
  25.525    -0.008  -0.008   0.003
  25.569    -0.002  -0.003   0.020
  25.613    -0.003   0.007   0.018
  25.656    -0.004   0.007   0.003
  25.700    -0.005   0.009   0.016
  25.744    -0.006   0.006   0.066
  25.787    -0.003  -0.001   0.067
  25.831    -0.004  -0.003   0.018
  25.875    -0.005  -0.018  -0.026
  25.918    -0.005  -0.015  -0.039
  25.962    -0.004   0.008  -0.015
  26.005    -0.002   0.008  -0.008
  26.049    -0.004  -0.004  -0.006
  26.093    -0.008  -0.017   0.020
  26.136    -0.006  -0.002   0.000
  26.180     0.001   0.023  -0.058
  26.224     0.002  -0.001  -0.038
  26.267    -0.000  -0.025   0.005
  26.311     0.003  -0.003  -0.040
  26.354     0.001   0.010  -0.075
  26.398    -0.007   0.003  -0.042
  26.442    -0.005   0.008  -0.018
  26.485    -0.004   0.007  -0.050
  26.529    -0.003  -0.001  -0.049
  26.573     0.004  -0.001   0.027
  26.616     0.004  -0.005   0.025
  26.660     0.003  -0.017  -0.033
  26.704     0.003  -0.011  -0.052
  26.747    -0.001   0.014  -0.022
  26.791     0.001   0.010   0.051
  26.834     0.004  -0.003   0.046
  26.878     0.007   0.005  -0.003
  26.922     0.002   0.003  -0.001
  26.965    -0.001  -0.010  -0.006
  27.009     0.006  -0.004   0.023
  27.053     0.008   0.008   0.031
  27.096     0.005   0.007  -0.010
  27.140     0.006   0.002  -0.020
  27.184     0.004  -0.001   0.001
  27.227     0.002   0.003   0.016
  27.271     0.005   0.007  -0.017
  27.314     0.005   0.002   0.014
  27.358     0.005  -0.009   0.064
  27.402     0.004  -0.007   0.026
  27.445     0.004   0.006   0.031
  27.489     0.000   0.000   0.069
  27.533    -0.006   0.009   0.028
  27.576    -0.001   0.020  -0.021
  27.620     0.004   0.004  -0.014
